"engine.time","calcium.Ca_i"
 3.92684955376848905e+02, 3.03383298468638157e-04
 3.96516468241113614e+02, 3.01711395784746961e-04
 4.00347981105378324e+02, 3.00070037099818164e-04
 4.04179493969643033e+02, 2.98458633247232464e-04
 4.08011006833907743e+02, 2.96876603655783734e-04
 4.11842519698172453e+02, 2.95323375718611338e-04
 4.15674032562437162e+02, 2.93798383276077876e-04
 4.19505545426701872e+02, 2.92301074730476438e-04
 4.23337058290966581e+02, 2.90830904001555801e-04
 4.29847261926422618e+02, 2.88393602611372113e-04
 4.36357465561878655e+02, 2.86030623467383133e-04
 4.42867669197334692e+02, 2.83739448114647685e-04
 4.49377872832790729e+02, 2.81517633626751120e-04
 4.55888076468246766e+02, 2.79362808053943269e-04
 4.62398280103702803e+02, 2.77272710264553726e-04
 4.68908483739158839e+02, 2.75245157677432930e-04
 4.75418687374614876e+02, 2.73278041763780593e-04
 4.81928891010070913e+02, 2.71369325358018776e-04
 4.85888055138282311e+02, 2.70236258472605440e-04
 4.89847219266493710e+02, 2.69123632360538734e-04
 4.93806383394705108e+02, 2.68031026160887756e-04
 4.97765547522916506e+02, 2.66958028382338825e-04
 5.01724711651127905e+02, 2.65904236035915931e-04
 5.05683875779339303e+02, 2.64869255749374411e-04
 5.09643039907550701e+02, 2.63852702539073487e-04
 5.13602204035762156e+02, 2.62854199985754656e-04
 5.17561368163973611e+02, 2.61873380011327884e-04
 5.21520532292185067e+02, 2.60909882743354791e-04
 5.25479696420396522e+02, 2.59963356327485521e-04
 5.29438860548607977e+02, 2.59033456766774887e-04
 5.33398024676819432e+02, 2.58119847766511736e-04
 5.37357188805030887e+02, 2.57222200566661517e-04
 5.41316352933242342e+02, 2.56340193790733869e-04
 5.45275517061453797e+02, 2.55473513272402050e-04
 5.49234681189665253e+02, 2.54621851923018255e-04
 5.53193845317876708e+02, 2.53784909534254615e-04
 5.55633270218520238e+02, 2.53276430717747092e-04
 5.58072695119163768e+02, 2.52773360873601645e-04
 5.60512120019807298e+02, 2.52275633579189811e-04
 5.65476164178594104e+02, 2.51278935636161499e-04
 5.71038782992255392e+02, 2.50187298581317679e-04
 5.76601401805916680e+02, 2.49121651330155489e-04
 5.85622281859076907e+02, 2.47446721630060031e-04
 5.94643161912237133e+02, 2.45835282093456145e-04
 6.03664041965397359e+02, 2.44284803784796908e-04
 6.12684922018557586e+02, 2.42792594708138152e-04
 6.21705802071717812e+02, 2.41356157503407992e-04
 6.30726682124878039e+02, 2.39973206643287782e-04
 6.39747562178038265e+02, 2.38641161453480733e-04
 6.48768442231198492e+02, 2.37358177127380729e-04
 6.57789322284358718e+02, 2.36122084642657941e-04
 6.66810202337518945e+02, 2.34930958139523453e-04
 6.75831082390679171e+02, 2.33783029066499852e-04
 6.84851962443839398e+02, 2.32676218225664040e-04
 6.98796090688694790e+02, 2.31042374652115770e-04
 7.12740218933550182e+02, 2.29496828859284768e-04
 7.26684347178405574e+02, 2.28035140054214423e-04
 7.40628475423260966e+02, 2.26651871702725243e-04
 7.54572603668116358e+02, 2.25342432675381754e-04
 7.68516731912971750e+02, 2.24102706577177142e-04
 7.82460860157827142e+02, 2.22927577759140675e-04
 7.96404988402682534e+02, 2.21814343217038748e-04
 8.10349116647537926e+02, 2.20759259039953176e-04
 8.24293244892393318e+02, 2.19758192657305195e-04
 8.38237373137248710e+02, 2.18809233832607721e-04
 8.52181501382104102e+02, 2.17908276489985910e-04
 8.66125629626959494e+02, 2.17053568748152317e-04
 8.80069757871814886e+02, 2.16242336748918824e-04
 8.94013886116670278e+02, 2.15471569687841888e-04
 9.07958014361525670e+02, 2.14739798055737195e-04
 9.21902142606381062e+02, 2.14044533792119676e-04
 9.35846270851236454e+02, 2.13384143992835507e-04
 9.49790399096091846e+02, 2.12756305189845083e-04
 9.63734527340947238e+02, 2.12159458459277797e-04
 9.77678655585802630e+02, 2.11591976959978344e-04
 9.91622783830658022e+02, 2.11052312517170303e-04
 1.00000000000000000e+03, 2.10740773964571094e-04
